Layer;Ontology;Path;Concept;Stereotype;Generalizations;Definition;Example;Relations
DOMAIN;HCIEO;HCI-ON:Domain Layer:HCIEO:Central View;HCI Evaluator Intention;;UFO:Intention   ;Intention that inheres in a HCI Evaluator, causing him to perform an HCI Evaluation.; the intention to evaluate an interactive computer system to find usability problems.;3
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;System Specification;subkind;SysSwO:Document   ;;;2
DOMAIN;SDRO;SEON:Domain Layer:SDRO:Mental Aspects;Software Design Proposition;;UFO:Proposition   ;The propositional content of Software Designer Mental Moments.;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Appointment Goal;;UFO:Goal   ;;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Mixin Universal;;UFO:Substantial Universal   ;;;0
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Specification;HCI Design Proposition;;SDRO:Software Design Proposition   ;;;1
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Configuration Audit Report;subkind;QAPO:Evaluation Report   SysSwO:Document   ;Document reporting the results of a Quality Audit Performing, including Noncompliance and Corrective Action Registers.;;2
CORE;HCIO;HCI-ON:Core Layer:HCIO:Interactive Computer System;Interactive Computer System;;SysSwO:Hardware Equipment   SysSwO:Computer System   COM:Measurable Entity   ;Computer System that combines User Interface, Computer Machine and Loaded Software System Copies, used to process, transform, store, display or transmit information or data by receiving input, and communicating output to Users.; a desktop computer, its monitor, keyboard, mouse and software systems loaded in the computer (operational system, browser, text editor, etc.), smart watch, smart mobile phone. ;9
CORE;HCIO;HCI-ON:Core Layer:HCIO:User;User Initiated Action;;HCIO:User Initiated Participation   HCIO:Intentional User Participation (User Action)   ;Intentional User Action of inputting data or information using an Input Equipment.; user touching her finger to unlock her mobile phone by using her fingerprint, user clicking the send button to send an email.;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Disposition;;;;;3
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Measurement Analyst;role;SPO:Stakeholder   ;Role played by the Stakeholder in charge of Software Measurement Analysis.; If John (a Person Stakeholder) was in charge of a software measurement analysis, then he played the role of measurement analyst.;1
CORE;COM;SEON:Core Layer:COM:Measurable Entities;Measurable Entity Type;;UFO:2ndOT   ;Type of entities that can be measured.; John is a measurable entity of the type Person.;4
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Artifact Participation;Artifact Participation;event;UFO:Object Participation   ;The participation of an Artifact in a Performed Activity.; when an artifact is created, changed or used by an activity.;2
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Data Collection;event;;Activity for collecting and storing data for the Software-Related Measure indicated in the selected Software Measurement Plan Item. ;;2
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Intended Process Structure;General Intended Process;;SPO:Intended Process   ;Intended Process that is composed of Specific Intended Processes, allowing an Organization or Project to define sub-processes that are part of a complete Intended Process.; the overall Development Process defined for the Alpha Project.;2
CORE;COM;SEON:Core Layer:COM:Measure;Scale;;UFO:Measurement Reference Structure   ;Delimitates the space of values possible to be associated by a Measure to a Measurable Element.; the scale of the measure height in meters is a liner structure isomorphic to the positive half-line of the real numbers.;3
DOMAIN;GORO;SEON:Domain Layer:GORO;Hardgoal;;UFO:Goal   ;Hardgoal is a proposition that is objectively satisfied by a given set of situations.;;0
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Performed Process;Performed Project Process;event;SPO:Performed Process   ;Performed Process executed within a Project.; a performed Requirement Process, a performed Construction Process.;2
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Software Item;kind;SysSwO:Software Artifact   UFO:Object   ;Piece of software, produced during the software process, not considered a complete Software Product, but an intermediary result.; a component, database schema, a script.;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Individual;;UFO:Entity   ;;;3
CORE;EO;SEON:Core Layer:EO:Human Resource Management;Human Resource Role;2ndOT;;;;0
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Intended Process Structure;Intended Activity;mode;RSMO:Measurable Software-Related Entity   UFO:Intention   ;Intention (Internal Commitment) representing the activity defined to be performed as part of an Intended Process, by a defined role, potentially consuming and producing artifacts, using resources and adopting procedures.; Unit Testing, Measure Collection, Strategic Goals Definition.;13
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Environment;Test Software Resource;role;SPO:Software Resource   ;Software Resource that comprises the Testing Environment of a Project.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Physical Object;;UFO:Object   ;;;0
DOMAIN;RDPO;SEON:Domain Layer:RDPO;Requirements Verification and Validation;event;SPO:Performed Composite Activity   ;Composite Performed Activity executed for evaluating Documented Requirements and Conceptual Models registered in Requirements Documents, and for recording the identified problems.;;7
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Artifact Participation;Artifact Creation;event;SPO:Artifact Participation   UFO:Creation   ;Artifact Participation in which a new Artifact is created.; the creation of the source Code as part of a Coding activity.;0
CORE;EO;SEON:Core Layer:EO;Team Purpose;mode;UFO:Intention   ;;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Universal;;UFO:Entity   ;;;6
CORE;COM;SEON:Core Layer:COM:Measurement Analysis;Measurement Analysis;;UFO:Event (Perdurant)   ;Action that analyzes Measure Values collected for Measures aiming to characterize a Measurable Entity and provide information related to a Measurement Goal.; a measurement analysis could analyze the measured values 26, 25.5 e 24, collected for the measure body mass index in kilos and meters to characterize the measurable entity John.    ;6
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Solved CR;phase;CMPO:Change Request (CR)   ;Change Request solved through the Change Implementation.;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Anti-Rigid Sortal Universal;;UFO:Sortal Universal   ;;;0
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Program Specification;subkind;SysSwO:Document   ;A document that describes the purpose (structure and functions) of a program in sufficient detail to permit coding and to facilitate maintenance.;;5
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Software System;subkind;SysSwO:Software Item   ;Software Item that aims at satisfying a specification (System Specification), concerning a desired change in a data structure inside a computer, abstracting away from the behavior.;;4
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Complex Closed Appointment;;UFO:Closed Appointment   UFO:Complex Closed Commitment   ;;;1
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Stakeholder Participation;Stakeholder Participation;event;UFO:Action Contribution   ;The participation of a Stakeholder in a Performed Activity, playing an Organizational Role.; Mary acting as Programmer in a Coding Activity, the Quality Assurance Team acting as an Auditor in an Auditing activity.;4
CORE;HCIO;HCI-ON:Core Layer:HCIO:Interactive Computer System;Output Equipment;;SysSwO:Hardware Equipment   ;Hardware Equipment used to transmit or display information or data, communicating output to Users.; Monitor, speaker, etc. ;3
DOMAIN;DPO;SEON:Domain Layer:DPO;User Interface Specification;subkind;DPO:Interface Specification   ;Interface Specification focusing on the human-computer interaction.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:MLT;2ndOT;;UFO:Entity   ;;;8
DOMAIN;HCIEO;HCI-ON:Domain Layer:HCIEO:Central View;HCI Evaluation Report;;SysSwO:Document   ;Document that presents evaluation results and other relevant information such as the considered HCI Evaluation Criteria.; Usability test report. ;4
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Measurement Executor;role;SPO:Stakeholder   ;Role played by the Stakeholder in charge of Software Measurement Execution. It does not include automated measurement (by tools).; If Mary (a Person Stakeholder) was in charge of a software measurement execution, then she played the role of measurement executor.;2
CORE;EO;SEON:Core Layer:EO:Human Resource Management;OU Assignment;relator;;;;4
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Baseline Establishment;event;SPO:Performed Composite Activity   ;Activity for establishing a Baseline embracing a planned set of Configuration Items' Versions.;;5
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Quality Assurance Process;event;SPO:Performed Specific Process   ;Process for conducting the activities related to software quality assurance, assessing and assuring adherence of the performed processes and produced artifacts to the applicable requirements.;;3
CORE;COM;SEON:Core Layer:COM:Measure;Measurement Formula;;UFO:Expression   ;Formula that quantifies relations between Measures from which a Derived Measure is obtained.; the measure body mass index in kilos and meters (BMI) can be calculated from the measures weight in kilos (w) and height in meters (h) by applying the measurement formula BMI = w/(h*h).;3
CORE;COM;SEON:Core Layer:COM:Measurement Planning;Measurement Goal;;UFO:Goal   ;Goal that can be used to drive the identification of the Measures needed to provide information in a certain context. Measurement Goals are established based on more general Goals.; in the context of a doctor’s office, a doctor could be the general goal of Taking a good care of the patients. From this general goal, could be established the measurement goal Monitor the patient health, which could be decomposed in others, such as Check if the patient has a good body mass index and Check if the patient has a good blood pressure.;6
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Planning;Software Measurement Planning Item;subkind;SysSwO:Information Item   COM:Measurement Planning Item   ;Measurement Planning Item related to software. It is an Information Item produced during Software Measurement Planning and it is composed of a Software Measurement Goal Description, an Information Need Description, a Measure Description and an Operational Definition of Measure.; the software measurement planning item composed of the software measurement goal description Decrease defects in delivered products, the information need description What is the delivered defects density?, the measure description delivered defects density and an operational definition of measure established to the software-related measure delivered defects density.;10
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Endurant;;UFO:Concrete Particular   UFO:Individual   ;Endurants are said to be wholly present whenever they are present, i.e., they are in time. They can be understood in contrast with the category of Perdurants (Processes, Events). Examples of endurants are a house, a person, the Moon, an amount of sand. For instance, we can say that an individual John weights 80kg at in circumstance c1 but 68kg at in circumstance c2. Nonetheless, we are in these two cases referring to the same individual.;;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Measurement Reference Structure;;UFO:Reference Structure   ;Measurement Reference Structures act as scales based on quality structures. They are composed of Measurement Reference Regions. Measurement Reference Structures can be partitioned into spaces of the same magnitude according to a Unit.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Commitment;;;;;2
CORE;EO;SEON:Core Layer:EO;Organization;category;UFO:Social Agent   ;Same as UFO::Organization. A Social Agent involving people and other agents and facilities with an arrangement of responsibilities, authorities and relationships.; A company, an enterprise, a software house.;5
CORE;HCIO;HCI-ON:Core Layer:HCIO:User;Intentional User Participation (User Action);;HCIO:User Participation   UFO:Action Contribution   ;User participation intentionally performed.; user touching her finger to unlock her mobile phone by using her fingerprint, user clicking the send button to send an e-mail.;1
DOMAIN;HCIEO;HCI-ON:Domain Layer:HCIEO:Central View;HCI Evaluation Artifact;;SysSwO:Software Artifact   ;Object intentionally made to specify evaluation criteria in the context of an evaluation.; a checklist used during an evaluation to specify the criteria to be applied. ;2
CORE;EO;SEON:Core Layer:EO:Organizational Structure;Simple Standalone Formal Organization;;EO:Standalone Formal Organization   ;;;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-B;Linear Temporal Structure;;UFO:Quality Structure   ;;;1
DOMAIN;DPO;SEON:Domain Layer:DPO;Designer;role;SPO:Stakeholder   ;Stakeholder responsible for making the Detailed Design choices for a software.;;3
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Planning;Operational Definition of Measure;subkind;SysSwO:Information Item   ;Information Item that specifies information regarding data collection and analysis of a Software-Related Measure. An Operational Definition of Measure indicates: Measurement Procedure, Measurement Periodicity, Measurement Moment, Measurement Responsible, Measurement Analysis Procedure, Measurement Analysis Periodicity, Measurement Analysis Moment, and Measurement Analysis Responsible. ;;13
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Stakeholders;Test Manager;role;SPO:Stakeholder   ;Stakeholder responsible for planning and managing the testing activities.;;2
DOMAIN;SPMO;SEON:Domain Layer:SPMO:Estimated Process;Cost Estimated Process;;SPO:Project Process   ;A Project Process with cost estimated. ;;0
CORE;EO;SEON:Core Layer:EO:Human Resource Management;Formal Organization Employer;role;EO:Formal Organization   ;;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Phase;;UFO:Anti-Rigid Sortal Universal   ;;;0
CORE;HCIO;HCI-ON:Core Layer:HCIO:Interactive Computer System;Input Equipment;;SysSwO:Hardware Equipment   ;Hardware Equipment used to receive and transmit information or data from a User (input).; keyboard, mouse, sensors. ;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Complex Action Universal;;UFO:Action Universal   ;;;4
CORE;COM;SEON:Core Layer:COM:Measure;Scale Value;;UFO:Measurement Reference Region   ;Value that compose a Scale.; 0.5, 1, 1.8 are examples of values that compose the scale of the measure height in meters.;1
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Change Accomplishment;event;SPO:Performed Composite Activity   ;Activity for performing the authorized changes in a set of Configuration Items under version control.;;9
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Measurement Result Reporting;event;;Activity for communicating the Analysis Result Description to the relevant Stakeholders. ;;2
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Information Needs Identification;event;SPO:Performed Simple Activity   ;Activity for identifying and recording the Information Needs to be included in the Software Measurement Plan. Information Needs are identified from the established Software Measurement Goals.;;2
DOMAIN;SDRO;SEON:Domain Layer:SDRO:Physical Aspects;Loaded Software Design Object;;SysSwO:Loaded Software System Copy   ;The materialization of a Software Design Object (i.e., the resulting designed software loaded in the computer memory);;2
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Specification;Wireframe;;HCIDO:HCI Design Specification   SysSwO:Document   ;A HCI Design Specification that is a Document outlining the basic structure of the interactive system’s user interface (e.g., how elements are visually organized on the screen) in a low fidelity sketch, which does not address specific details such as colors and typography.;;0
CORE;EO;SEON:Core Layer:EO;Team Member;role;UFO:Person   ;;;1
CORE;SysSwO;SEON:Core Layer:SysSwO:Computer System;Complex Computer System;;SysSwO:Computer System   ;;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Material Relation;;UFO:Relation   ;;;1
DOMAIN;CMPO;SEON:Domain Layer:CMPO;CR Being Solved;phase;CMPO:Change Request (CR)   ;Change Request being solved after authorization.;;0
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Process;Test Result Analysis;event;SPO:Performed Simple Activity   ;Simple Performed Activity for analyzing Test Results to determine whether or not tests have been successful in identifying defects.;;5
DOMAIN;CPO;SEON:Domain Layer:CPO;Code Reviewer;role;SPO:Stakeholder   ;Stakeholder responsible for reviewing the Code according to the Requirements Document and Design Document.;;1
CORE;COM;SEON:Core Layer:COM:Measure;Derivative Measurement Procedure;;COM:Measurement Procedure   ;Measurement Procedure applicable to a Derived Measure.; Measurement procedure to collect data for the measure body mass index in kilos and meters: Obtain the values measured to the measures weight in kilos and and height in meters considering a same measurement date.  Apply the measurement formula to calculate the body mass index in kilos and meters. Record the measured value and the measurement date.;2
DOMAIN;CPO;SEON:Domain Layer:CPO;Programmer;role;SPO:Stakeholder   ;Stakeholder with programming skills responsible for producing and documenting the software Code.;;1
DOMAIN;RDPO;SEON:Domain Layer:RDPO;Conceptual Model;subkind;SysSwO:Model   ;Model describing the Product Requirements under different and relevant views.; a class diagram.;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Quality Universal;;UFO:Intrisic Moment Universal   UFO:Universal   ;Quality Universals are those universals whose instances are Qualities.;;5
DOMAIN;DPO;SEON:Domain Layer:DPO;Architectural Component;subkind;DPO:Architectural Element   ;Architectural Element describing a software module as part of an Architecture.;;3
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Measurement Plan Item Selection;event;;Activity for selecting the Software Measurement Plan Item to be used to guide the Software Measurement Execution. The selected Software Measurement Plan Item indicates the Software-Related Measured to be applied in the Software Measurement Execution and the Operational Definition of Measure to be considered. ;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Unit;;UFO:Measurement Quality Region   ;;;1
CORE;EO;SEON:Core Layer:EO:Human Resource Management;Allocation Unit;role;EO:Organizational Unit   ;;;2
CORE;SysSwO;SEON:Core Layer:SysSwO:Computer System;Computer System;;UFO:Object   ;System containing one or more Computer Machines, and other Hardware Equipments connected to them, and associated software systems that are installed/loaded in these Machines (adapted from ISO/IEC/IEEE 24765:2017).;;4
DOMAIN;SPMO;SEON:Domain Layer:SPMO:WBS;Deliverable;mode;;;;2
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Complex Sw Artifact;category;SysSwO:Software Artifact   ;Artifact composed of other Artifacts.;;1
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Intended Process Structure;Simple Intended Activity;mode;SPO:Intended Activity   ;Intended Activity that is not further decomposed into other Intended Activities.;;1
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Test Input;subkind;SysSwO:Information Item   ;Descriptions of the parameters and values to be used in a test case, in order to produce an expected result.;;2
DOMAIN;DPO;SEON:Domain Layer:DPO;Interface High-level Design;event;SPO:Performed Simple Activity   ;Activity for specifying the Interfaces between Architectural Components and with external elements (users or other systems).;;2
CORE;COM;SEON:Core Layer:COM:Measurable Entities;Measurable Entity;;UFO:Entity   UFO:Universal   ;Anything that can be measured.; a person, a project, an organization.;5
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Creation;;UFO:Object Participation   ;;;0
DOMAIN;SDRO;SEON:Domain Layer:SDRO:Mental Aspects;Mental Software Design Object;;SDRO:Software Design Proposition   ;A Software Design Proposition concerning the software system being designed, i.e., the picture the designer has in mind about the system he/she is designing.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Interval MeaRefDimension;;UFO:Measurement Reference Dimension   ;;;0
DOMAIN;RDPO;SEON:Domain Layer:RDPO;Requirements Reviewer;role;SPO:Stakeholder   ;Stakeholder responsible for conducting reviews in requirements artifacts.; the person in charge of the Requirements Verification and Validation activity.;1
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Planning;Business Goal;;UFO:Goal   ;Goal that expresses the intention for which strategic actions are planned and performed.; Increase the client’s satisfaction degree. ;2
DOMAIN;SDRO;SEON:Domain Layer:SDRO:Physical Aspects;Software Design Specification;;SysSwO:Software Artifact   ;A Software Artifact that provides a physical representation of a mental specification. It can be presented as a Model, a Document or a Software Item. ; a class diagram, a detailed textual description, a functional prototype;4
CORE;COM;SEON:Core Layer:COM:Measurable Entities;Indirectly Measurable Element;;COM:Measurable Element   UFO:Composed Quality Universal   ;Measurable Element that depends on others (its sub-elements) to be measured.; body mass index is an indirectly measurable element measured from weight and height.;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Scientific Measurement Domain;;UFO:Measurement Quality Domain   ;;;1
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Procedures;Method Activity;2ndOT;UFO:Action Universal   ;Action type representing one of the steps of a Method Workflow.; the Classes Identification activity of an OO Method.;2
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Process;Level-based Testing;event;SPO:Performed Composite Activity   ;Composite Performed Activity consisting of testing activities and classified by the different levels they can be performed.;;9
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Interaction;;UFO:Complex Action   ;;;0
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;RRT Program Copy Execution;;SysSwO:Program Copy Execution   ;An RRT Program Copy Execution is the execution of a Loaded RRT Program Copy. It uses Runtime Requirement Artifacts as resources.;;2
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Process;Test Planning;event;SPO:Performed Composite Activity   ;Composite Performed Activity for planning how the testing activities should be performed, and documenting it in a Test Plan.;;4
CORE;COM;SEON:Core Layer:COM:Measure;Measurement Procedure;;UFO:Normative Description   ;Procedure applicable to a Measure and that describe the steps to be carried out to collect data for it.; Measurement procedure to collect data for the measure weight in kilos: Use a weighting digital instrument to measure the person weight in kilos. Record the measured value and the measurement date.;4
CORE;SysSwO;SEON:Core Layer:SysSwO:Program Execution;Loaded Software System Copy;;UFO:Disposition   ;Loaded Software System Copy is the materialization of a Software System, inhering in a Computer Machine.; a copy of a software system loaded in the primary memory of my computer.;4
DOMAIN;CPO;SEON:Domain Layer:CPO;Code Documentation;event;SPO:Performed Simple Activity   ;Simple Performed Activity executed for documenting the software Code with useful information.;;2
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Intended Process Structure;Project Activity;;SPO:Intended Activity   ;Intended Activity defined to be performed within a Project, and thus that is part of a Project Process.; a project Requirement Process, a project Construction Process.;3
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Measured Value Description;;SysSwO:Information Item   ;Information Item that records a Measured Value.; the record of the measured value 0.75.;4
DOMAIN;DPO;SEON:Domain Layer:DPO;Architectural Design;event;SPO:Performed Composite Activity   ;Activity for making the high-level design choices, defining the Software Architecture and involved elements.;;6
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Situation;;UFO:Individual   UFO:Endurant   ;A situation is a particular configuration of a part of reality which can be understood as a whole. Situations can be factual or counterfactual (@e.g., the situation in which “Al Gore is the president of the USA”).;;7
CORE;HCIO;HCI-ON:Core Layer:HCIO:HC Interaction;Interactive Computer System Participation;;UFO:Object Participation   UFO:Complex Event   ;The participation of an Interactive Computer System in a Human-Computer Interaction.; the participation of the mobile phone system in the human-computer interaction in which the user touches her finger to unlock her mobile phone by using her fingerprint and the mobile phone system shows a message informing that the fingerprint was not recognized, the participation of the smart watch in the human-computer interaction in which the user uses the smart watch to monitor her heart pulse.;4
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Software Measurement Process;;SPO:Performed Specific Process   ;The Software Measurement Process is a Process with the purpose of collecting, analyzing, and reporting data relating to the products developed and the processes used to develop them, aiming to support effective processes management and objectively demonstrate products quality.;;3
CORE;COM;SEON:Core Layer:COM:Measurement Planning;Measurement Planning Item;;UFO:Social Object   ;Social Object produced during Measurement Planning. A Measurement Planning Item specifies a Measurement Goal to be monitored, an Information Need to be considered, a Measure to be used to meet the Information Need and a Measurement Procedure to be applied to collect data for the Measure. Several Measurement Planning Items can be produced during Measurement Planning.; the measurement planning item specifying the measurement goal Check if the patient has a good body mass index, the information need What is the patient body mass index?, the measure body mass index in kilos and meters to be collected by using the measurement procedure Obtain the values measured to the measures weight in grams and and height in centimeters considering a same measurement date, apply the measurement formula to calculate the body mass index in kilos and meters, record the measured value and the measurement date.;7
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Intentional Moment;;UFO:Intrinsic Moment   ;The capacity of some properties of certain individuals to refer to possible Situations of reality. Every intentional moment has a propositional content (Proposition), which is an abstract representation of a class of situations referred by that intentional moment.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Mental Moment;;UFO:Intentional Moment   ;;;3
CORE;EO;SEON:Core Layer:EO:Organizational Structure;Standalone Formal Organization;;EO:Formal Organization   ;;;1
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Specification;User Requirement;;RSRO:Requirement   ;A Requirement that refers to User Goals (i.e., a Requirement concerned with users' needs or capabilities that should be addressed by the system, in order to allow users to achieve their goals in an effective, efficient, safe and satisfying manner).  ;;4
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Machine Code;subkind;SysSwO:Code   ;Computer instructions and data definitions expressed in a form output by an assembler, compiler, or other translator, which can be recognized by the processing unit of a computer machine.;;1
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Test Incident Report;subkind;ROoST:Incident Report   ;Report describing any event that occurs during the testing process which requires investigation (adapted from ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary);;1
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Version;mode;UFO:Moment   ;Each identified release of a Configuration Item submitted to a version control repository.; Project Plan of Project Alfa, version 01, Requirements Document of Project Alfa, version 03.;3
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Selection of Measures for Analysis;event;;Activity for selecting, among the Software-Related Measures related to the selected Software Measurement Goal the ones to be analyzed in the Software Measurement Analysis. ;;1
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Procedures;Procedure;category;UFO:Normative Description   ;Normative Description prescribing a defined way for performing process activities.; an OO Method, the Pair Programming technique, a Project Plan Template.;4
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Environment;Test Management Tool;subkind;SysSwO:Software Product   ;Software Product used to store information on how testing is to be done, plan testing activities and report the status of testing activities (adpated from Wikipedia).;;0
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Planning;Measurement Analysis Procedure;;UFO:Normative Description   ;Procedure applied to analyze Measured Values obtained for a Software-Related Measure. ;;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Intention;;UFO:Commitment   UFO:Mental Moment   UFO:Intentional Moment   ;Intentions are desired state of affairs (situations) for which the agent commits at pursuing (@e.g., the Intention of going to a beach resort for the next summer break).;;4
DOMAIN;SPMO;SEON:Domain Layer:SPMO:WBS;Practical Result;;SPMO:Deliverable   ;;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Function;;UFO:Set   UFO:Disposition   ;Function is a specialization of Set that maps instances of a Quality Universal to points in a Quality Structure.;;1
CORE;SysSwO;SEON:Core Layer:SysSwO:Hw Equipment;Hardware Type;2ndOT;UFO:Object Kind   ;Object Kind which is the powertype of Hardware Equipment, classifying its specializations.; Computer, Printer, Router, Keyboard.;3
DOMAIN;RSRO;SEON:Domain Layer:RSRO;Non-Functional Requirement;mode;RSRO:Requirement   ;Requirement defining criteria or capabilities for the product.; Being accessible from some specific browsers, Being in conformance with a standard, Performing a function in an established time.;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Atomic Action Universal;;UFO:Action Universal   ;;;1
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Target Execution State;;SysSwO:Computing Resulting State   ;Execution State is the Observable State resulting from the Target Program Copy Execution, which is monitored by some Compliance Program Copy Executions.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Internal Closed Commitment Universal;;UFO:Internal Commitment Universal   UFO:Closed Commitment Universal   ;;;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:MLT;3rdOT;;UFO:Entity   ;;;5
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Performed Process;Performed Simple Activity;event;SPO:Performed Activity   ;Performed Activity that is not further decomposed into other Performed Activities.;;1
DOMAIN;DPO;SEON:Domain Layer:DPO;Detailed Design;event;SPO:Performed Composite Activity   ;Activity for refining a preliminary software design to the extent that it is sufficiently complete to be implemented. [ISO/IEC/IEEE 24765];;8
DOMAIN;RSRO;SEON:Domain Layer:RSRO;Software Function Universal;2ndOT;UFO:Function Universal   ;Function Universal denoting the types of functions expected in a software.; Controlling client orders.;4
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Stakeholders;Organization Stakeholder;role;EO:Organization   SPO:Stakeholder   ;Organization interested or affected by the process activities or results.; a Client Organization.;0
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Configuration Auditing;event;SPO:Performed Composite Activity   ;Activity for verifying that a Baseline or a Deliverable Product is complete, consistent and in conformity with the specified requirements.;;7
CORE;COM;SEON:Core Layer:COM:Measurement Planning;Indicator;;COM:Measure   ;Measure directly used to indicate the achievement of Measurement Goals.; the measure body mass index in kilos and meters could play the role of indicator when indicating the achievement of the measurement goal Check if the patient has a good body mass index.;1
DOMAIN;RSRO;SEON:Domain Layer:RSRO;Functional Requirement;mode;RSRO:Requirement   ;Requirement defining a function to be available in the product being built.; The need for the system to control client orders.;1
